engine,clients,size,regularOps,longOps,handleLongRunning,regularCommits,regularTxs,regularAr,regularRt,longCommits,longTxs,longAr,longRt,txs,ar
monetdb,1,10000,10,1000,False,0,0.0,0,0,75,2.5,0.0,0.402,2.5,0.0
monetdb,2,10000,10,1000,False,2843,94.77,0.86,0.011,46,1.53,0.99,0.654,96.3,0.88
monetdb,4,10000,10,1000,False,3779,125.97,0.92,0.028,32,1.07,0.99,0.948,127.03,0.93
monetdb,8,10000,10,1000,False,2555,85.17,0.97,0.314,36,1.2,0.99,0.839,86.37,0.97
monetdb,16,10000,10,1000,False,1751,58.37,0.99,1.101,32,1.07,0.99,0.951,59.43,0.99
monetdb,32,10000,10,1000,False,4059,135.3,0.98,0.649,2,0.07,1.0,15.289,135.37,0.98
tique,1,10000,10,1000,False,0,0.0,0,0,76,2.53,0.0,0.398,2.53,0.0
tique,2,10000,10,1000,False,4841,161.37,0.0,0.006,1,0.03,0.99,30.782,161.4,0.02
tique,4,10000,10,1000,False,11650,388.33,0.01,0.008,1,0.03,0.99,31.012,388.37,0.01
tique,8,10000,10,1000,False,20056,668.53,0.02,0.01,1,0.03,0.98,30.997,668.57,0.02
tique,16,10000,10,1000,False,28980,966.0,0.04,0.015,1,0.03,0.97,31.928,966.03,0.04
tique,32,10000,10,1000,False,37137,1237.9,0.07,0.025,1,0.03,0.95,31.69,1237.93,0.08
tique,1,10000,10,1000,True,0,0.0,0,0,75,2.5,0.0,0.404,2.5,0.0
tique,2,10000,10,1000,True,2329,77.63,0.54,0.013,40,1.33,0.49,0.759,78.97,0.54
tique,4,10000,10,1000,True,6087,202.9,0.53,0.015,34,1.13,0.5,0.913,204.03,0.53
tique,8,10000,10,1000,True,11113,370.43,0.54,0.019,27,0.9,0.51,1.127,371.33,0.54
tique,16,10000,10,1000,True,16235,541.17,0.53,0.028,19,0.63,0.5,1.623,541.8,0.53
tique,32,10000,10,1000,True,20828,694.27,0.55,0.045,12,0.4,0.5,2.526,694.67,0.55
tidb-optimistic,1,10000,10,1000,False,0,0.0,0,0,43,1.43,0.0,0.709,1.43,0.0
tidb-optimistic,2,10000,10,1000,False,2561,85.37,0.0,0.012,1,0.03,0.97,30.749,85.4,0.01
tidb-optimistic,4,10000,10,1000,False,7685,256.17,0.0,0.012,1,0.03,0.97,30.803,256.2,0.01
tidb-optimistic,8,10000,10,1000,False,14784,492.8,0.01,0.014,1,0.03,0.97,31.243,492.83,0.01
tidb-optimistic,16,10000,10,1000,False,25905,863.5,0.02,0.017,1,0.03,0.97,31.193,863.53,0.02
tidb-optimistic,32,10000,10,1000,False,40397,1346.57,0.04,0.023,1,0.03,0.97,31.359,1346.6,0.04
tidb-pessimistic,1,10000,10,1000,False,0,0.0,0,0,46,1.53,0.0,0.662,1.53,0.0
tidb-pessimistic,2,10000,10,1000,False,792,26.4,0.0,0.038,42,1.4,0.0,0.728,27.8,0.0
tidb-pessimistic,4,10000,10,1000,False,2442,81.4,0.0,0.037,44,1.47,0.0,0.692,82.87,0.0
tidb-pessimistic,8,10000,10,1000,False,5863,195.43,0.0,0.036,43,1.43,0.0,0.708,196.87,0.0
tidb-pessimistic,16,10000,10,1000,False,12309,410.3,0.0,0.037,43,1.43,0.0,0.705,411.73,0.0
tidb-pessimistic,32,10000,10,1000,False,21981,732.7,0.0,0.043,40,1.33,0.0,0.749,734.03,0.0
tidb-pessimistic-long-only,1,10000,10,1000,False,0,0.0,0,0,48,1.6,0.0,0.63,1.6,0.0
tidb-pessimistic-long-only,2,10000,10,1000,False,372,12.4,0.07,0.099,34,1.13,0.0,1.005,13.53,0.07
tidb-pessimistic-long-only,4,10000,10,1000,False,384,12.8,0.09,0.266,16,0.53,0.0,2.092,13.33,0.08
tidb-pessimistic-long-only,8,10000,10,1000,False,1159,38.63,0.08,0.197,15,0.5,0.0,2.024,39.13,0.08
tidb-pessimistic-long-only,16,10000,10,1000,False,1738,57.93,0.07,0.31,9,0.3,0.0,3.686,58.23,0.07
tidb-pessimistic-long-only,32,10000,10,1000,False,2002,66.73,0.08,0.657,5,0.17,0.0,6.646,66.9,0.08
