driver,warehouses,scale,clients,contention,throughput,abort_rate
monetdbsinglekey,512,1,1,0,25.88,0.0
monetdbsinglekey,512,1,2,0,0.46,0.49
monetdbsinglekey,512,1,4,0,0.52,0.34
monetdbsinglekey,512,1,8,0,0.57,0.54
monetdbsinglekey,512,1,16,0,0.61,0.62
monetdbsinglekey,512,1,32,0,0.54,0.77
tique,512,1,1,0,76.14,0.0
tique,512,1,2,0,137.24,0.0
tique,512,1,4,0,238.5,0.0
tique,512,1,8,0,371.06,0.0
tique,512,1,16,0,468.27,0.01
tique,512,1,32,0,531.15,0.01
postgres,512,1,1,0,76.73,0.0
postgres,512,1,2,0,155.89,0.0
postgres,512,1,4,0,309.91,0.0
postgres,512,1,8,0,578.1,0.0
postgres,512,1,16,0,982.48,0.0
postgres,512,1,32,0,1414.64,0.01
singlestore,512,1,1,0,18.01,0.0
singlestore,512,1,2,0,37.8,0.0
singlestore,512,1,4,0,76.71,0.0
singlestore,512,1,8,0,157.27,0.0
singlestore,512,1,16,0,286.05,0.0
singlestore,512,1,32,0,331.38,0.0
tidb-optimistic,512,1,1,0,23.91,0.0
tidb-optimistic,512,1,2,0,48.13,0.0
tidb-optimistic,512,1,4,0,90.28,0.0
tidb-optimistic,512,1,8,0,177.57,0.0
tidb-optimistic,512,1,16,0,322.6,0.0
tidb-optimistic,512,1,32,0,450.09,0.01
tidb-pessimistic,512,1,1,0,22.5,0.0
tidb-pessimistic,512,1,2,0,45.48,0.0
tidb-pessimistic,512,1,4,0,84.31,0.0
tidb-pessimistic,512,1,8,0,164.84,0.0
tidb-pessimistic,512,1,16,0,296.55,0.0
tidb-pessimistic,512,1,32,0,385.57,0.0
